Duration_Days,Frequency,Cumulative_Probability
92.7,1,0.0001
93.3,1,0.0002
93.6,1,0.0003
93.8,1,0.0004
94.2,1,0.0005
94.3,1,0.0006
94.6,1,0.0007
94.7,1,0.0008
94.8,1,0.0009
95.0,1,0.0010
95.0,1,0.0011
95.1,1,0.0012
95.1,1,0.0013
95.3,1,0.0014
95.4,1,0.0015
95.4,1,0.0016
95.5,1,0.0017
95.5,1,0.0018
95.5,1,0.0019
95.6,1,0.0020
95.7,1,0.0021
95.8,1,0.0022
95.8,1,0.0023
95.8,1,0.0024
95.9,1,0.0025
96.0,1,0.0026
96.0,1,0.0027
96.0,1,0.0028
96.1,1,0.0029
96.1,1,0.0030
96.2,1,0.0031
96.2,1,0.0032
96.2,1,0.0033
96.3,1,0.0034
96.3,1,0.0035
96.3,1,0.0036
96.3,1,0.0037
96.3,1,0.0038
96.3,1,0.0039
96.3,1,0.0040
96.4,1,0.0041
96.4,1,0.0042
96.4,1,0.0043
96.4,1,0.0044
96.4,1,0.0045
96.5,1,0.0046
96.6,1,0.0047
96.7,1,0.0048
96.8,1,0.0049
96.8,1,0.0050
96.8,1,0.0051
96.8,1,0.0052
96.8,1,0.0053
96.9,1,0.0054
96.9,1,0.0055
96.9,1,0.0056
96.9,1,0.0057
97.0,1,0.0058
97.0,1,0.0059
97.1,1,0.0060
97.1,1,0.0061
97.1,1,0.0062
97.2,1,0.0063
97.2,1,0.0064
97.3,1,0.0065
97.3,1,0.0066
97.3,1,0.0067
97.3,1,0.0068
97.3,1,0.0069
97.3,1,0.0070
97.3,1,0.0071
97.3,1,0.0072
97.3,1,0.0073
97.4,1,0.0074
97.4,1,0.0075
97.4,1,0.0076
97.4,1,0.0077
97.4,1,0.0078
97.4,1,0.0079
97.4,1,0.0080
97.5,1,0.0081
97.5,1,0.0082
97.5,1,0.0083
97.5,1,0.0084
97.5,1,0.0085
97.5,1,0.0086
97.6,1,0.0087
97.6,1,0.0088
97.6,1,0.0089
97.6,1,0.0090
97.6,1,0.0091
97.6,1,0.0092
97.6,1,0.0093
97.6,1,0.0094
97.7,1,0.0095
97.7,1,0.0096
97.7,1,0.0097
97.7,1,0.0098
97.7,1,0.0099
97.7,1,0.0100
97.8,1,0.0101
97.8,1,0.0102
97.8,1,0.0103
97.8,1,0.0104
97.8,1,0.0105
97.8,1,0.0106
97.8,1,0.0107
97.9,1,0.0108
97.9,1,0.0109
97.9,1,0.0110
97.9,1,0.0111
97.9,1,0.0112
97.9,1,0.0113
97.9,1,0.0114
97.9,1,0.0115
97.9,1,0.0116
97.9,1,0.0117
97.9,1,0.0118
97.9,1,0.0119
97.9,1,0.0120
97.9,1,0.0121
98.0,1,0.0122
98.0,1,0.0123
98.0,1,0.0124
98.0,1,0.0125
98.0,1,0.0126
98.0,1,0.0127
98.0,1,0.0128
98.1,1,0.0129
98.1,1,0.0130
98.1,1,0.0131
98.1,1,0.0132
98.1,1,0.0133
98.1,1,0.0134
98.1,1,0.0135
98.1,1,0.0136
98.1,1,0.0137
98.2,1,0.0138
98.2,1,0.0139
98.2,1,0.0140
98.2,1,0.0141
98.2,1,0.0142
98.2,1,0.0143
98.2,1,0.0144
98.2,1,0.0145
98.2,1,0.0146
98.2,1,0.0147
98.2,1,0.0148
98.3,1,0.0149
98.3,1,0.0150
98.3,1,0.0151
98.3,1,0.0152
98.3,1,0.0153
98.3,1,0.0154
98.3,1,0.0155
98.3,1,0.0156
98.3,1,0.0157
98.3,1,0.0158
98.3,1,0.0159
98.4,1,0.0160
98.4,1,0.0161
98.4,1,0.0162
98.4,1,0.0163
98.4,1,0.0164
98.4,1,0.0165
98.4,1,0.0166
98.4,1,0.0167
98.4,1,0.0168
98.4,1,0.0169
98.4,1,0.0170
98.5,1,0.0171
98.5,1,0.0172
98.5,1,0.0173
98.5,1,0.0174
98.5,1,0.0175
98.5,1,0.0176
98.5,1,0.0177
98.5,1,0.0178
98.5,1,0.0179
98.5,1,0.0180
98.5,1,0.0181
98.5,1,0.0182
98.6,1,0.0183
98.6,1,0.0184
98.6,1,0.0185
98.6,1,0.0186
98.6,1,0.0187
98.6,1,0.0188
98.6,1,0.0189
98.6,1,0.0190
98.6,1,0.0191
98.6,1,0.0192
98.6,1,0.0193
98.6,1,0.0194
98.6,1,0.0195
98.6,1,0.0196
98.6,1,0.0197
98.6,1,0.0198
98.6,1,0.0199
98.7,1,0.0200
98.7,1,0.0201
98.7,1,0.0202
98.7,1,0.0203
98.7,1,0.0204
98.7,1,0.0205
98.7,1,0.0206
98.7,1,0.0207
98.7,1,0.0208
98.8,1,0.0209
98.8,1,0.0210
98.8,1,0.0211
98.8,1,0.0212
98.8,1,0.0213
98.8,1,0.0214
98.8,1,0.0215
98.8,1,0.0216
98.8,1,0.0217
98.8,1,0.0218
98.8,1,0.0219
98.8,1,0.0220
98.8,1,0.0221
98.8,1,0.0222
98.8,1,0.0223
98.8,1,0.0224
98.9,1,0.0225
98.9,1,0.0226
98.9,1,0.0227
98.9,1,0.0228
98.9,1,0.0229
98.9,1,0.0230
98.9,1,0.0231
98.9,1,0.0232
98.9,1,0.0233
98.9,1,0.0234
98.9,1,0.0235
99.0,1,0.0236
99.0,1,0.0237
99.0,1,0.0238
99.0,1,0.0239
99.0,1,0.0240
99.0,1,0.0241
99.1,1,0.0242
99.1,1,0.0243
99.1,1,0.0244
99.1,1,0.0245
99.1,1,0.0246
99.1,1,0.0247
99.1,1,0.0248
99.1,1,0.0249
99.1,1,0.0250
99.1,1,0.0251
99.1,1,0.0252
99.1,1,0.0253
99.1,1,0.0254
99.1,1,0.0255
99.1,1,0.0256
99.1,1,0.0257
99.1,1,0.0258
99.1,1,0.0259
99.1,1,0.0260
99.1,1,0.0261
99.1,1,0.0262
99.1,1,0.0263
99.1,1,0.0264
99.1,1,0.0265
99.1,1,0.0266
99.1,1,0.0267
99.2,1,0.0268
99.2,1,0.0269
99.2,1,0.0270
99.2,1,0.0271
99.2,1,0.0272
99.2,1,0.0273
99.2,1,0.0274
99.2,1,0.0275
99.2,1,0.0276
99.2,1,0.0277
99.2,1,0.0278
99.2,1,0.0279
99.2,1,0.0280
99.2,1,0.0281
99.3,1,0.0282
99.3,1,0.0283
99.3,1,0.0284
99.3,1,0.0285
99.3,1,0.0286
99.3,1,0.0287
99.3,1,0.0288
99.3,1,0.0289
99.3,1,0.0290
99.3,1,0.0291
99.3,1,0.0292
99.3,1,0.0293
99.3,1,0.0294
99.3,1,0.0295
99.3,1,0.0296
99.3,1,0.0297
99.3,1,0.0298
99.3,1,0.0299
99.3,1,0.0300
99.4,1,0.0301
99.4,1,0.0302
99.4,1,0.0303
99.4,1,0.0304
99.4,1,0.0305
99.4,1,0.0306
99.4,1,0.0307
99.4,1,0.0308
99.4,1,0.0309
99.4,1,0.0310
99.5,1,0.0311
99.5,1,0.0312
99.5,1,0.0313
99.5,1,0.0314
99.5,1,0.0315
99.5,1,0.0316
99.5,1,0.0317
99.5,1,0.0318
99.5,1,0.0319
